# Sampling rate: 500 Hz

ecg1,ecg2,ecg3,ecg4,ecg5,tstamp
0.00052519,0.00031583,0.0011732,-0.00015566,6.9662e-05,2021-04-07 16:25:05.948000
0.0017643,0.00053822,0.0029022,-0.00065789,-0.00029286,2021-04-07 16:25:05.950000
0.0011259,0.00034942,0.0016184,-0.00034077,-0.00013131,2021-04-07 16:25:05.952000
0.0015265,0.00044809,0.0025242,-0.00053345,-0.00023993,2021-04-07 16:25:05.954000
0.0011819,0.00039468,0.0022505,-0.00038134,-0.00011433,2021-04-07 16:25:05.956000
0.00092182,0.0003838,0.0023291,-0.00028765,-4.0979e-05,2021-04-07 16:25:05.958000
0.00086736,0.00041893,0.0026484,-0.00028373,-1.5917e-05,2021-04-07 16:25:05.960000
0.00069759,0.00039353,0.0024806,-0.00019296,5.6463e-05,2021-04-07 16:25:05.962000
0.00089939,0.00042316,0.0027814,-0.00027679,-1.2049e-05,2021-04-07 16:25:05.964000
0.001061,0.00042241,0.0027626,-0.00033734,-9.7302e-05,2021-04-07 16:25:05.966000
0.0013486,0.00041265,0.0028462,-0.00041101,-0.00020477,2021-04-07 16:25:05.968000
0.0015952,0.00039882,0.003029,-0.00047697,-0.00029082,2021-04-07 16:25:05.970000
0.0016433,0.00040323,0.0031217,-0.00049649,-0.0003273,2021-04-07 16:25:05.972000
0.0016254,0.00043441,0.0033708,-0.00049658,-0.00032882,2021-04-07 16:25:05.974000
0.0014189,0.00044646,0.0035457,-0.00041961,-0.00026526,2021-04-07 16:25:05.976000
0.0012061,0.00046247,0.0037958,-0.00035072,-0.00020916,2021-04-07 16:25:05.978000
0.0010382,0.0004752,0.0040378,-0.00030176,-0.00016452,2021-04-07 16:25:05.980000
0.00094765,0.00048728,0.0041823,-0.00027538,-0.00014967,2021-04-07 16:25:05.982000
0.001041,0.00050739,0.0043306,-0.00031381,-0.0001997,2021-04-07 16:25:05.984000
0.0012524,0.00053197,0.0044452,-0.0003898,-0.00026715,2021-04-07 16:25:05.986000
0.0015106,0.00054634,0.0045498,-0.00047556,-0.00035625,2021-04-07 16:25:05.988000
0.0017071,0.00053823,0.004626,-0.00054426,-0.00045444,2021-04-07 16:25:05.990000
0.0017676,0.00054098,0.0047379,-0.00056307,-0.00048987,2021-04-07 16:25:05.992000
0.0016614,0.00055389,0.0049247,-0.00052095,-0.00046887,2021-04-07 16:25:05.994000
0.0014324,0.00055609,0.0051033,-0.00045663,-0.00041332,2021-04-07 16:25:05.996000
0.0011603,0.0005586,0.005291,-0.00037781,-0.0003165,2021-04-07 16:25:05.998000
0.00089314,0.00056981,0.0055003,-0.00028973,-0.00024037,2021-04-07 16:25:06
0.00080889,0.00057895,0.0056807,-0.0002614,-0.00022995,2021-04-07 16:25:06.002000
0.00092202,0.00057819,0.0058169,-0.00028867,-0.00026284,2021-04-07 16:25:06.004000
0.0010642,0.00058387,0.0059648,-0.00033578,-0.00033271,2021-04-07 16:25:06.006000
0.0012748,0.00059688,0.0061391,-0.00041207,-0.00042984,2021-04-07 16:25:06.008000
0.001493,0.00060356,0.0062804,-0.00047279,-0.00051389,2021-04-07 16:25:06.010000
0.0015288,0.00060637,0.0064359,-0.00047776,-0.00054205,2021-04-07 16:25:06.012000
0.0014142,0.00060099,0.006609,-0.00044222,-0.00050929,2021-04-07 16:25:06.014000
0.0012004,0.00059008,0.0067581,-0.00035926,-0.00043722,2021-04-07 16:25:06.016000
0.00090963,0.00058809,0.0069406,-0.00025319,-0.00034177,2021-04-07 16:25:06.018000
0.00069184,0.00058373,0.0071209,-0.00017707,-0.00025941,2021-04-07 16:25:06.020000
0.00062734,0.00056398,0.0072592,-0.00013833,-0.00022976,2021-04-07 16:25:06.022000
