# Sampling rate: 500 Hz

ecg1,ecg2,ecg3,ecg4,ecg5,tstamp
5.0828e-06,4.7542e-05,-4.0601e-05,0.00035939,-0.00010725,2021-04-07 16:21:15.513000
0.00012216,0.00025775,-9.0542e-05,0.00041104,-2.8746e-05,2021-04-07 16:21:15.515000
0.00021374,0.00046541,-0.0001976,0.00029645,8.6537e-05,2021-04-07 16:21:15.517000
0.00026201,0.00066307,-0.00023078,0.00023315,0.0001916,2021-04-07 16:21:15.519000
0.00035304,0.00088913,-0.00026223,8.0096e-06,0.00034203,2021-04-07 16:21:15.521000
0.00045973,0.0010986,-0.00024515,-0.00020506,0.00045691,2021-04-07 16:21:15.523000
0.00054721,0.0012445,-0.00022609,-0.00038787,0.00052883,2021-04-07 16:21:15.525000
0.00070155,0.0013659,-0.00024264,-0.00063195,0.00057781,2021-04-07 16:21:15.527000
0.00090782,0.0014414,-0.00023018,-0.00083357,0.00057902,2021-04-07 16:21:15.529000
0.0011181,0.001437,-0.00020741,-0.00097493,0.00053948,2021-04-07 16:21:15.531000
0.0012459,0.0013194,-0.00018964,-0.001109,0.00047485,2021-04-07 16:21:15.533000
0.0012735,0.0012115,-0.00019421,-0.0012407,0.00043158,2021-04-07 16:21:15.535000
0.0012692,0.0010865,-0.00019738,-0.0012624,0.000412,2021-04-07 16:21:15.537000
0.0010929,0.00074723,-0.00016077,-0.0011795,0.00038789,2021-04-07 16:21:15.539000
0.00071883,0.00041001,-0.00022228,-0.0010054,0.00039277,2021-04-07 16:21:15.541000
0.0002905,0.00018326,-0.00039456,-0.00073304,0.00043438,2021-04-07 16:21:15.543000
-9.8543e-05,-3.2184e-05,-0.00046129,-0.00052891,0.00045163,2021-04-07 16:21:15.545000
-0.00027187,-0.00013825,-0.00041576,-0.00041453,0.00039436,2021-04-07 16:21:15.547000
-0.0002333,-0.00016644,-0.0003626,-0.00033475,0.00028661,2021-04-07 16:21:15.549000
-0.00012136,-0.00014199,-0.00028938,-0.0003039,0.00018669,2021-04-07 16:21:15.551000
1.8919e-05,-6.8213e-05,-0.0002236,-0.00027133,0.00010902,2021-04-07 16:21:15.553000
9.7691e-05,-5.9248e-05,-0.0001814,-0.00023196,4.0649e-05,2021-04-07 16:21:15.555000
9.9331e-05,-6.7565e-05,-0.00012481,-0.00018936,-6.279e-06,2021-04-07 16:21:15.557000
7.8672e-05,-3.3631e-05,-6.4332e-05,-0.00013995,-7.5676e-06,2021-04-07 16:21:15.559000
5.0945e-05,9.006e-06,-2.0695e-06,-9.4755e-05,1.3157e-05,2021-04-07 16:21:15.561000
2.3535e-05,4.9411e-05,6.4512e-05,-3.5607e-05,2.3985e-05,2021-04-07 16:21:15.563000
-5.7469e-06,6.2573e-05,0.0001023,9.3043e-06,3.0212e-05,2021-04-07 16:21:15.565000
-8.4664e-06,5.5173e-05,0.0001074,1.6026e-05,1.9881e-05,2021-04-07 16:21:15.567000
3.0657e-05,4.4009e-05,8.5493e-05,-1.7695e-07,-9.3814e-06,2021-04-07 16:21:15.569000
9.9708e-05,2.3856e-05,4.4388e-05,-2.5023e-05,-4.1144e-05,2021-04-07 16:21:15.571000
0.00017044,1.0223e-05,1.9032e-05,-4.1116e-05,-7.178e-05,2021-04-07 16:21:15.573000
0.00019622,1.9039e-06,1.1444e-05,-4.8046e-05,-8.8242e-05,2021-04-07 16:21:15.575000
0.00017701,-7.6755e-06,1.2693e-05,-4.0283e-05,-8.8517e-05,2021-04-07 16:21:15.577000
0.00011563,-1.2312e-05,3.6761e-05,-1.1693e-05,-7.3955e-05,2021-04-07 16:21:15.579000
2.4927e-05,-1.5327e-05,6.8398e-05,1.9287e-05,-4.6771e-05,2021-04-07 16:21:15.581000
-4.1828e-05,-1.5802e-05,9.0361e-05,4.5365e-05,-2.3226e-05,2021-04-07 16:21:15.583000
-7.6905e-05,-1.6039e-05,0.00010724,6.5455e-05,-9.8963e-06,2021-04-07 16:21:15.585000
-8.1356e-05,-1.8822e-05,0.00010458,6.2886e-05,-1.9623e-05,2021-04-07 16:21:15.587000
-2.7864e-05,-1.9902e-05,8.192e-05,4.2694e-05,-4.7504e-05,2021-04-07 16:21:15.589000
5.9116e-05,-2.1795e-05,5.9279e-05,2.3833e-05,-7.1282e-05,2021-04-07 16:21:15.591000
0.00013116,-2.3479e-05,3.5133e-05,2.0701e-06,-9.6184e-05,2021-04-07 16:21:15.593000
0.00017492,-2.12e-05,2.2171e-05,-1.2976e-05,-0.00011199,2021-04-07 16:21:15.595000
0.00016572,-1.8526e-05,3.5871e-05,-5.6031e-06,-0.00010437,2021-04-07 16:21:15.597000
9.8771e-05,-1.8729e-05,5.8419e-05,1.5024e-05,-8.8042e-05,2021-04-07 16:21:15.599000
2.6955e-05,-1.6401e-05,8.2921e-05,4.5789e-05,-6.364e-05,2021-04-07 16:21:15.601000
-3.1602e-05,-1.015e-05,0.00010725,7.5424e-05,-3.6164e-05,2021-04-07 16:21:15.603000
-7.9073e-05,-1.0608e-05,0.0001214,9.069e-05,-2.1238e-05,2021-04-07 16:21:15.605000
-7.8888e-05,-1.1734e-05,0.00011989,8.9798e-05,-2.1263e-05,2021-04-07 16:21:15.607000
-1.6567e-05,-5.9575e-06,9.2341e-05,6.4439e-05,-4.6055e-05,2021-04-07 16:21:15.609000
7.3258e-05,-4.0156e-06,5.8924e-05,3.476e-05,-8.0715e-05,2021-04-07 16:21:15.611000
0.00015489,-1.6353e-06,4.4597e-05,1.3699e-05,-9.7302e-05,2021-04-07 16:21:15.613000
0.00020436,2.6511e-06,3.8881e-05,-2.3792e-06,-0.00010505,2021-04-07 16:21:15.615000
0.00018707,1.7236e-06,4.2329e-05,6.9059e-06,-0.00010307,2021-04-07 16:21:15.617000
0.00011971,4.4695e-06,6.1214e-05,2.8891e-05,-8.0314e-05,2021-04-07 16:21:15.619000
5.1963e-05,7.4159e-06,8.9292e-05,4.7541e-05,-5.4485e-05,2021-04-07 16:21:15.621000
